Esiliiga, 10th
II liiga N/E, 2nd
North-East Third League, 13th
NB III, Centre, 8th
Paulista A2, 4th of 16
Southern League, 4th of 10
Southern Counties East Football League
Carioca, 4th of 12
did not qualify for playoffs
Overall: 6th
Division 4 Gästrikland , 3rd
Baiano, 4th of 10
Primera Aficionados – Group 1, 2nd
Ligue Professionnelle 1, 8th
División Honor – Group 2, 12th
A RFG, 7th of 10
Northern League, 11th of 12
Regionalliga West, 8th
Regular phase: 3rd
Paraense, 12th of 12
Preferent Territorial, 17th
SDL, 7th of 14
Higher League 6th of 12
FootballSouth Premier League, 2nd of 10
Conference North, 11th
Primera B, 14th
Liga Portugal 2, 3rd
Liga III, Seria I, 6th
Singapore Premier League, 1st of 8
Ligue 3 Group A, 7th
Ukrainian Second League, Group B, 12th of 12
Ballymena & Provincial Football League, 1st
Gozo Football League First Division, 7th
Liga Artzit, 4th
Azadegan League Group A, 12th
Division 3 Norra Norrland, 1st
League 2 (Iran)
Playoffs: Conference Semifinal
V.League 1, 10th of 13
--07-04
--07-07
Liga 1, 15th of 18
Iraqi Premier League, 17th of 20
Série C, 10th
Paulista A2, 18th
Third Division, 1st of 32
Niš First League, 2nd of 14
Liga 1, 14th
Macedonian Third League , 4th
Serbian League East, 3rd of 16
Iraq Division One, 26th of 28
Four Amateur Football Ligue , 6th
FDL, 18th of 20
National Amateur League, Group B, 3rd
Thai League 3, 6th of 13 in the Southern region
Higher League 2nd of 9
La Liga, 18th of 20
Brandenburg-Liga, 1st
W: División de Plata, 1st
Mineiro Módulo II, 8th of 12
Liga IV, Brașov County, 12th
Iraq Division One, 23th of 24
SWPL 2, 1st of 7
Canadian Premier League, 5th
Acreano, 8th of 9
Segunda División, 4th
Andebol 1, 4th of 16
FootballSouth Premier League, 9th of 10
Third League, 7th
South-West Third League, 10th
Eccellenza Lombardy/A, 2nd
Serie D/D, 6th
Liga Bet North A, 14th
Regionalliga Nord , 16th
Liga IV, Bihor County
Central Division: 1st
Toppserien, 4th of 10
Eccellenza Piedmont/B, 1st
South-East Third League, 13th
Campeonato de Portugal Serie A, 2nd
División de Honor Group 3, 1st
Overall: 7th
Super League 2, 15th
ÖFB-Frauenliga, 2nd
Håndboldligaen, 1st of 15
Welsh Premier League, 3rd
Western League Division One, 2/4
Serbian League West, 18th of 18
Second division, downgraded
Iraqi Premier League, 3rd of 20
División Profesional, 13th
Primeira Liga, 8th of 18
Belgian National Division 1, 8th of 15
Playoffs: National Champions
Ligue A, 8th of 16
Malatya First Amateur League – Group A, 6th
Liga 2, 12th in East Group
Victorian State League 2 North-West, 2nd of 12
V.League 2, 12th of 12
Eccellenza Emilia-Romagna Group C, 2nd
Premier League 1st of 16
Allsvenskan, 14th
Champions, Dorset & Wilts 1 South
Offseason
CPD, 5th of 16
Zone South, 14th
Kenya Cup
AF Setúbal 1ª Divisão,1st
Liga IV, Bacău County, Seria II, 3rd
National 3 Group Auvergne-Rhône-Alpes, 4th
Regular Season: 5th, SoutheastPlayoffs: did not qualify
Northern League, 4th of 12
IV liga Lesser Poland, 12th
Promozione Trentino - South Tyrol, 3rd
Spartan League, 10th of 13
Slovenian PrvaLiga, 3rd of 10
UAE Pro League, 8th
División de Honor, 4th
Gamma Ethniki, 9th
NB III, West, 10th
B' ESKATH, 4th
Division 2 Norra Svealand, 9th
Minority Caucus Co-Chairs
Lebanese Women's Football League, 2nd of 8
Manchester Football League Premier Division, 3rd of 15
Eliteserien, 12th
Elitettan, winners
Ukrainian Premier League, 4th of 16
Liga ASOBAL, 9th
Ykkönen, 10th
K League 1, 11th of 12
Serie D/H, 15th
Central Midlands League North Division, Withdrew
Premier League BH, 5th
National 2 Group C, 15th
N/A
Liga III, Seria II, 5th
DH Bourgogne, 6th
Persian Gulf Pro League, 13th
Liga I, 2nd of 16
Nigeria Professional Football League, 8th of 20
Kreisklasse Würzburg-Gruppe 1 , 14th
CPD, 1st of 16
Division 3 Norra Norrland, 2nd
OFS Gazi Baba, 1st
Mineiro Módulo II, 6th
Resigned mid-season
Série D, 30th
Division di Honor, 10th
Serie D/D, 13th
Promotion play-offs, Semi–finals
Ýokary Liga, 2nd of 8
Serie B, 5th
Turkish Women's Football Super League, 8th of 24
Liga I, 3rd of 16
Gauchão, 10th of 16
II Liiga N/E, 11th
Slovenian Second League, 9th of 16
Serie D/G , 15th
Series 2, Group 1, 1st
Scottish Football League Division Three, Record expunged
Derde Divisie , 14th
Serbian League East, 10th of 16
HBL, 2nd
Second League, 9th
Paulista A3, 20th
National 2 Group B, 11th
GFF Elite League, 2nd of 10
Série D, 27th of 64
Overall: 11th
PLSQ-Male, 8th
North-West Third League, 13th
Primera Andaluza, 5th
Série A, 16th of 20
National A, 2nd
Egyptian Women's Premier League, 1st of 9
Paraense, 1st of 12
BPL, 6th of 16
Primera División, 15th
CFA Group D, 6th
Eredivisie, 13th of 18
Kategoria e Dytë, Group B, 9th
Eccellenza Umbria , 17th
Kolmonen – Helsinki & Uusimaa, Section A
Série D, 61st
Brasileirão Série B, 3rd of 20
NASL, Atlantic Conference, Northern Division 2nd
Segunda División - Group 3, 2nd
División de Honor, 11th
Treća HNL East, 11th
Serie B, 12th
Primera B, 6th of 16
Overall table: 7th
Liga 2, Runner-up
Paulistão 2ª Divisão, 10th of 36
Macedonian First League, 6th
Belgian First Division A, 16th
National 3 Group J, 4th
Série C, 13th of 20
Campeonato Mineiro, 10th
I-League, 7th of 13
Ettan Södra, 11th of 16
Primera División Occidental Group, 7th
Ligue 2, Group Centre-west, 14th
Northern Alliance Premier Division, 2nd of 16
CPD, 12th of 16
Championnat National D2, 37th
Eccellenza Campania, 2nd
Liga II, 3rd of 20
Austrian Second League, 6th
Paraense, 2nd of 12
Majority Freshman Whip
Primera División, 2nd of 16
Division 2 Norrland, 9th
Armenian Premier League, 1st
13.0
Russian Premier League, 9th of 16
Group C, 6th of 8
First Division, 3rd
Promozione Campania – C, 1st
Carioca, 14th
Pomurska League, 7th
Oberliga Hamburg , 15th
Handball-Bundesliga, 4th of 18
FDL, 16th of 20
Promozione Lombardia/C, 13th
Deputy Minority Whip
Regionalliga Ost, 12th
Divizia Națională, 1st of 8
Division Two, 4/13
Philippines Football League, 1st of 6
Copa Simón Bolívar, 1st of 34
Nemzeti Bajnokság I, 8th of 14
Division Two, 12/14
Relegation Group, Serie A, 4th
Division 1
Primera Regional, 9th
Liga III, Seria IX, 2nd
Campeonato Amazonense 8th of 9
WHIL, 7th
Mineiro Módulo I, 5th
FNL 2, Group 2, 1st
Egyptian Premier League, 18th
Slovak play-offs, 3rd
V.League 2, 3rd of 12
Liga 1, 18th of 18
Liga 1, 8th of 18
Pernambucano, 4th
Gamma Ethniki  11th relegated
National League 1, Champions
Playoffs: Did not qualify
V.League 1, 4th of 13
MS League, 18th of 20
Eastern Counties Football League
Prima Categoria group A, 16th
Minority Leader
Premier Division, 5th
Somerset County League Premier Division, 2nd of 16
Eccellenza Veneto B, 2nd
KPL, champions
Division 3 Sydöstra Götaland, 2nd
División de Honor, Gr. 4, 1st
La Liga, 15th of 20
Superliga, 4th of 12
NOFV-Oberliga Nord, 13th of 19
Eerste Divisie, 10th of 20
NIFL Premiership, 2nd
Segunda División, 12th of 22
Eastern Conference: 13th
Ballymena & Provincial Football League, 9th
Regular season: 4th
Gamma Ethniki  14th
Eliteserien, 11th of 16
First League, 11th of 14
Preferente Autonómica – Group 2, 4th of 15
Second Division, 2nd
Ýokary Liga, 1st of 8
Capital Premier, 6th of 10
Maranhense, 1st of 8
Ligue 1, 4th of 14
Azadegan League, 17th
Paraense, 4th of 12
Tweede Divisie, 17th
Pomurska League, 14th
North Series, 7th
Capixaba, 9th
División de Honor, Gr. 2, 8th
Czech National Football League 14th, relegated
NB III, Centre, 1st
Messinia B Local 3rd
K4 League, 11th
Alagoano, 3rd of 8
Alagoano, 3rd of 9
League, 1st; Playoffs, SF
Serie D/E, 11th
National 2 Group B, 5th
FNL, 3rd
HKPL, 8th of 8
Rugby-Bundesliga South/West, 7th
Elimination finalists
Primera de Aficionados, 7th
North-East Third League, 12th
Conference National, 20th
Swiss Challenge League, 2nd of 10
Quarter-finals
V.League 1, 6th of 13
'''2nd'
Esiliiga, 4th
Western Division, 12th
National Division, 11th
Gamma Ethniki , 14th
Nigeria Professional Football League, 3rd of 20
II liga, 3rd of 18
Ligue Haïtienne, 10th
Primera Nacional Zone B, 14th
Eredivisie, 11th of 18
Second League, 10th
Denmark Series – Group 2, 9th of 10
Ghana Premier League, 1st of 18
Playoffs: Division semifinals
Mato-Grossense, 1st of 10
Midland League Premier Division, 14th
Maranhense 7th of 8
Combined: 10th
Postseason: Champions
Combined Counties League Division One, 14th
First Istria County League, 10th
Series 2, Group 2, 1st
PLSQ-Male, 6th
Third Division group 1, 8th of 14
Division 3 Nordvästra Götaland, 2nd
Mid-Ulster Football League Intermediate A, 2nd
Lieutenant Governor of North Carolina
Divizia Naţională, 11th of 12
Division 2 Södra Götaland, 9th
IV liga grupa mazowiecka centralna 1st of 14
Ligue 2, Group Centre-east, 9th
Kategoria e Dytë, Group A, 12th
Liga 3 Serie North, 4th
Regional round
Regional Preferente – Group 5, 4th of 16
Southern League, 2nd of 10
Zone B, 12th
Playoffs: Central Conf. Quarterfinals
MB I, Győr-Moson-Sopron, 1st
II liiga, 11th
Belgian Fourth Division, 2nd
Super League Greece 2, 10th
Eastern Conference: 2nd
Bayernliga Nord, 1st
5.0
Austrian Bundesliga, 3rd of 12
Stadtliga Leipzig , 16th
Playoffs: Did Not Participate
Iraq Division One, 25th of 28
Campeonato Nacional Feminino, 1st of 8
Liga 2/1st round (Group C), 6th
Record expunged
A RFG Vratsa, 2nd
Final phase: Champions
Swiss Challenge League, 10th of 10
Nemzeti Bajnokság I, 9th of 14
Super League Greece 2, 9th
North West Counties Football League Premier Division, 10th
Liga 2, 9th
Essex Olympian League, 1st of 15
Inter-Régions Division, Group South-east, 1st
National A , 1st
Essex Senior League, 3rd of 9
Eccellenza Veneto/A, 15th
Liga 2/1st round (Group A), 5th
NIFL Premiership, 9th
South-East Third League, 6th
Saudi Second Division Group A, 3rd of 14
Primeira Liga, 3rd of 18
Championnat de France Amateurs Group A, 8th
Iran Football's 2nd Division, 9th
Primera Regional, 19th
Super League Greece, 6th
National 2 Group D, 8th
Pakistan Premier League, 5th of 16
Madeira Divisão Honra, 2nd
Serie D Group D, 7th
Série D, 58th
Regional Preferente, 2nd
National First Division, 15th
Série D, 42th of 64
Primera Regional Grupo 4, 5th
U18 Premier League South, 14th of 14
Série D, 18th of 64
Prva HNL, 9th
Super League Greece 2, 1st
First Division, 1st of 16
Primera División, 11th of 16
League, 2nd; Playoffs, Finalists
Iraqi Premier League, 18th of 20
GFF Elite League, 1st of 10
Final Round: DNQ
NB II, 11th of 20
Eliteserien, 1st of 16
MB I, Zala, 8th
Inaugural season
Ukrainian Second League, Group A, 1st of 13
Minority Caucus Secretary
Serie A, 3rd of 12
Slovenian First League, 2nd
Promotion play-offs, Semi-finals
Overall: 18th
K4 League, 4th
Uzbekistan Super League, 7th of 14
A RFG Haskovo, 4th
Nationale, 14th
Serie D/G, 18th
Regional Amateur Football Groups (Bulgaria)
CPD, 6th of 16
Jutland Series Group 2, 1st
Elite Two, 1st
UAE Pro League, 7th
Vila Real FA Divisão de Honra
Liga Nacional Group 12, 6th
Serie D/A, 18th
Intercommunal League, 4th
III Liiga W, 3rd
Bezirksliga Oberbayern-Ost , 1st
OFS Kisela Voda, 3rd
Under-21s: 8th
Persian Gulf Pro League, 6th
St Piran League West Division, 4th of 14
Liga IV, Tulcea County, Seria A, 4th
Kazakhstan Premier League, 12th
Rondoniense Série B, 1st of 3
Meistriliiga, 5th
MFA First Division, 4th
Eerste Divisie, 18th of 20
second
Special Asst. to the Speaker
NIFL Championship, 6th
Singapore Premier League, 6th of 8
National 3 Group B, 1st
Wiener Stadtliga, 15th
NRFL Division 1, 4th of 12
Final phase: Semi-finals
Topdivisie, 1st
Ukrainian Premier League, 10th of 16
Armenian Premier League, 8th
Erovnuli Liga, 1st
Allsvenskan, 9th
Regional Preferente – Menorca, 2nd of 12
League One, 15th
Ukrainian Premier League, 10th of 14
Western Conference: 10th
Segunda División, 17th
Denmark Series – Group 1, 2nd of 10
I liga, 8th
Montenegrin Second League, 7th
Paulistão, 14th of 16
Regular phase: 4th
Division of Honour, 9th
TT Pro League, 8th
Higher League; 13
Eliminated in Regional Stage
nd
Ligue Professionnelle 1, 17th
Rondoniense, 6th of 8
Belgian First Division A, 9th
Rondoniense, 6th of 7
Serbian First League, 8th
Rondoniense, 6th of 6
Liga Portugal 2, 4th
Sul-Mato-Grossense, 8th of 10
Liga III, Seria IV, 9th
Playoffs: Winner
Catarinense, 9th
Ligue Inter-Régions de football – Groupe Ouest, 3rd
Littoral League, 6th
Eccellenza Lombardy/B, 2nd
HKPL, 5th of 8
Austrian Regional League East, 10th
WE League, 11th of 11
Eliteserien, 4th of 16
Playoffs: NASL Champions
Zone League East, 13th of 16
Preferente Autonómica, 5th
Paulistão A3, 8th of 16
Tercera RFEF, promoted
Segunda División, 9th of 22
grupo A, 5th
Liga Națională, 1st of 14
Azadegan League, 9th
Primera Nacional Zone A, 3rd
Lebanese Women's Football League, 1st of 8
Paranaense 2ª Divisão, 6th
Sudan Premier League, 2nd
Serbian SuperLiga, 4th of 16
Group B 1st  Promoted
NIFL Premier Intermediate League, 6th
Ekstraklasa, 17th of 18
Ligue Nationale du Football Amateur, Group Centre, 1st
Eerste Divisie, 2nd of 20
League Two, 1st of 24
Jordanian Pro League, 2nd of 12
III liiga, 1st
Preferent Territorial, 16th
Fall Series: 9th of 9
Série B, 20th of 20
South-East Third League, 1st /Promoted/
Série D, 45th
Liga ASOBAL, 14th
Liga Futsal, 9th
Verbandsliga Mecklenburg-Vorpommern , 15th
Primera B, 5th of 16
*3rd 
*Eastern Conference Playoff Champs
*2022 MLR Champions
Currently
Men: 10th
EPA U-20, 1st
Serie D/D, 7th
Segunda División, 8th of 22
Qatar Stars League, 5th of 12
Liga III, Seria VII, 1st
OFS Kumanovo First Division, 1st
K League 2, 3rd of 11
Overall: 8th
Divizia A1, 1st
Descentralizado, 16th
Serie D/I, 10th
Second League of RS , 1th
North-West Third League, 4th
Playoffs: M2 Champions
Mineiro, 10th of 12
Northern Premier League
Prva HNL, 3rd of 10
U-16: 10th
Nemzeti Bajnokság I, 2nd
Division 2 ACFF, 5th of 16
National Division, 8th
President Pro Tempore of the North Carolina Senate
Eccellenza Apulia/B, 12th
Handball-Bundesliga, 5th of 18
Thai League 3, 7th of 13 in the Northeastern region
Ardal Leagues North East
Premier Division, 12th
Top 14, 14th
K League 2, 9th of 11
Division 4 Stockholm Mellersta, 1st
Liga IV, Ilfov County, 2nd
Division 3 Sydvästra Götaland, 1st
Primera División Amateur Group A, 2nd
Vojvodina League South, 12th of 16
defunct
Segunda División, 13th of 22
Tercera División
Primera B, 1st of 16
Toplica District League, 1st of 10
Paulistão 2ª Divisão, 29th of 36
Ligue Professionnelle 2, 12th
Territorial Preferente, 16th
Régional 1 Auvergne-Rhône-Alpes, Group B, 1st
Liga IV, Gorj County, 8th
Relegation Serie A, 2nd
Division 3 Södra Svealand, 8th
NB III, West, 11th
Série A, 17th of 20
Preferente – Group 1, 7th of 18
Ljubljana Regional League, 14th
Playoffs: Qualified
Sixth
Greenlandic Football Championship, 2nd
Ukrainian Premier League, 2nd of 16
Champions Division 1 West
Belgian Second Amateur Division, 16th
Premier League BH, 4th
Eccellenza Toscana/B, 1st
Primera Regional, 10th
Liga III, Seria II, 6th
Macedonian First League, 7th
Eliminated in Interregional Phase
Regional Preferente,  /
Copa Perú Champion
MS League, 17th of 20
National 2 Group C, 6th
Relegation Serie B, 4th
Iraq Division One, 16th of 24
Caledonian AFL Division One , 1st
Ligue 2, Group Centre-east, 1st
National 3 Group D, 5th
Serbian SuperLiga, 8th
Montenegrin First League, 4th
Ligue 2, Group Centre-west, 13th
National 3 Group K, 7th
Gamma Ethniki  15th, Relegated
Elite One, 2nd
League Two, 4th of 24
CPD, 11th of 16
Malaysia Super League, 3rd of 12
II liiga, 3rd
Playoffs: USL1 Champions
Challenge Cup, 2nd
USL League One, 3rd of 11
Pomurska League, 6th
Premier League 2 Division 1, 13th
Fortuna Liga, 12th
Premiere League, 1st
Fall: 8th
II Lyga, 8th
División de Honor, 3rd
Northwest Conference: 1st
Business Div 1, 15th
Mineiro Módulo II, 11th
Swiss Promotion League, 4th
Liga Națională, 4th of 14
TNM Super League, 15th of 16
Liga ASOBAL, 8th
Campeonato de Portugal, 9th of 61
Division 6 Stockholm C, 7th
Singapore Premier League, 2nd of 8
NIFL Premiership, 1st
Campeonato Mineiro, 9th
Liga Nacional, Group B 4th
Liga Alef North, 15th
Central League, 9th of 10
Serie D/D, 14th
2021-22 Liga 3 (Indonesia)
Third Division, 2nd of 32
División de Honor B – Group B, running
Regular season: 10th
Division 3 Mellersta Götaland, 2nd
Liga IV, Timiș County, 2nd
Super League, 12th of 16
Group A, 7th place
Liga 2, 10th
Alagoano 2ª Divisão, 4th of 7
Liga 1, 9th of 18
Second League of the Federation of Bosnia and Herzegovina, 3rd
División Intermedia, 15th of 18
Semi-finalists
Liga I, 1st
Catarinense, 1st of 12
Clausura, 5th of 10
Serie D/A, 10th
Ligue 1, 1st of 14
Bahraini Premier League, 9th of 10
Third Division, 1st
Persian Gulf Cup, 15th
League Two, 25th
League 3 Group B, 3rd
Playoffs: First round
Kategoria Superiore, 3rd
Veikkausliiga, 12th
Ettan Södra, 6th
Baiano, 6th of 10
Liga Națională, 12th of 14
Macedonian First League, 8th of 12
Prva HMNL,  /
Eccellenza Campania/B, 4th
Third Division group 4, 11th of 14
--11-05
Carioca, 13th
Campeonato de Portugal: Promoted
Playoffs: Regional final
FDL, 17th of 20
Overall: 10th
Playoffs: Semifinals
Premier League, 1st
on hiatus
Kreisklasse B Hamburg 5 , 5th
Men: 8th
Liga 3 Série B, 5th
Mongolian National Premier League, 4th of 10
Régional 1 Pays de la Loire Group B, 1st
Campeonato de Portugal Série F, 3rd place
Serie D/E, 8th
Primera División, 14th
Preferente Grupo Sur, 1st
Peruvian Segunda División, 14th
Central Federation League, 8th of 8
Alagoano, 4th of 8
Deputy Majority Leader
Iraq Division One, 24th of 24
Liga 1, 17th of 18
Iraq Division One, 24th of 28
First Division, 4th
División de Honor, 12th
Egyptian Premier League, 17th
Playoffs: Semifinalists
Andebol 1, 1st of 16
Serie C2 Group C, 12th of 18
Campeonato Paranaense 3ª Divisão, 3rd
Primera Nacional Zone A, 10th
Paulistão 2ª Divisão, 11th of 36
Verbandsliga Hessen-Süd , 2nd
Isthmian LeagueDivision One South, resigned
Promozione Sicilia / B
Second League, 5th of 16
Régional 1 Hauts-de-France, Group C, 1st
Piauiense, 5th of 8
Playoffs: Conference Final
Apertura, 6th of 10
Women: 12th
Maranhense, 2nd of 8
Eccellenza Campania – A, 4th
Thai League 2, 15th
Gamma Ethniki, 2nd
North-East Third League, 3rd
Premier Division, 6th
Macedonian Women's Football Championship, 1st of 15
Segunda Categoría/A, 4th
Freshman Caucus Co-Chairs
Serie D/F, 32nd
Division 2 Norra Svealand, 2nd
B' A.F.C.A. (Group 2) 9th
First League of FBiH, 3rd
Eastern Conference: 14th
Handball-Bundesliga, 1st of 18
Serbian League Belgrade, 10th of 16
Superliga 2 Femenina, 11th
I liga, 2nd of 18
Superleague; 5
Liga III, Seria VI, 1st
Superleague; 4
Division 6 Skåne Sydvästra, 3rd
Série B, 11th of 20
Paulistão A2, 2nd of 16
Pernambucano, 3rd
Western Conference: 2nd
Lega Pro Seconda Divisione/B, 2nd
Unstarted
Preferente – Group 2 , 2nd of 13
Seconda Categoria group D, 4th
Ukrainian First League, 4th of 16
Primera División, 4th of 16
Philippines Football League, 6th of 6
Eredivisie, 12th of 18
Division 1 Norra, 7th
Handball-Bundesliga, 16th of 18
National 3 Group D, 11th
Azadegan League, 1st
Paulistão 2ª Divisão, 11th of 44
División de Honor, 12th ↓
Segunda Division Peruana 9th
Provence Départemental 3 Group C, 1st
PLSQ-Female, 4th
Thai League 3, 13th of 13 in the Northeastern region
Regular season: 3rd
Serie D/E, 10th
Primeira Liga, 13th of 18
League Two, 15th of 24
Eccellenza Veneto, 8th
South-West Third League, 6th
Paulistão A3, 7th of 16
NB III, East, 7th
Liga 3, 2nd
League Two, 21st of 24
Division 2 Västra Götaland, 11th
Kreisliga A Offenbach-Ost , 1st
Divisão de Honra, ?th
Men: 5. divisjon Trøndelag avd. 4 , 9th
Premier Division, 3rd
Fortuna Liga, 9th
Uzbekistan Super League, 8th of 14
Alagoano, 7th of 8
Lesotho Premier League, 8th
FC Eintracht Bamberg
Pacific Premiership, 4th of 8
United Soccer Association, Eastern Division, 6th
First Division, 1st
Regional Preferente – Group 2, 7th
Mato-Grossense, 8th of 10
II liga, 9th of 18
Segunda División de Fútbol Salvadoreño
Essex and Suffolk Border League, 1st of 18
Eccellenza Toscana group B, 3rd
North-East Third League, 2nd
Group B2: 1st
Slovenian Second League, 4th of 16
Azadegan League, 16th
C-League, 2nd of 13
Eccellenza Sicily – A, 6th
SWF Championship North, 1st of 10
Ligue 1, 5th
Primera Regional, (1st – promoted)
Regional Preferente, 1st
Serbian League East, 8th of 20
Play-offs: Quarterfinals
Série D, 19th of 64
Šumadija-Raška Zone League, 9th of 14
Prima Categoria Liguria Group B, 2nd
Sierra Leone National Premier League, 2nd of 14
Ekstraklasa, 16th of 18
CPD, 16th of 16
Playoff: Champions
Disqualified
Third Division - Group 5, 3rd
Kenyan National Super League
Serie D/E, 14th
Serbian League Belgrade, 9th
Serbian SuperLiga, 11th of 16
División de Honor , 18th
Serie D/I, 16th
Super League Greece 2, 8th
SDL, 1st of 28
Primera División, 5th of 16
B' A.F.C.A. , 3rd
Division 3 Södra Norrland 2020
Second Division
PFL Zrenjanin, 2nd
Division of Honour, 2nd
Liga 2, 8th
Hoofdklasse, 10th
Third League, 13th
Second League, relegated
Série B, 9th of 20
Liga Națională, 2nd of 16
I-League, 5th of 11
FootballSouth Premier League, 5th of 10
Liga Portugal 2, 9th
Waikato Division 2, 5th of 10
Denmark Series Group 3, 10th of 10
I-League, 5th of 13
B RFG Pleven, 1st /promoted/
Golden Gate Conference: 4th
Division Two, 7th of 12
Division 3 Östra Svealand, 6th
Primera Regional, 6th
Western Conference: 1st
Liga 1, 4th of 18
I-League, 13th
Slovenian Second League, 10th of 16
National First Division, 16th
Serie A, 11th
National 2 Group B, 14th
Danish Superliga, 2nd of 12
Primera B, 4th of 16
III liga, group IV, 1st of 18
Swiss Challenge League, 10th
Third Division/ 5, 9th
Pomurska League, 13th
Fortuna liga, 1st of 12
Prima Categoria, 16th
Ligue 2, Group Centre-west, 9th
Primera Nacional Zone A, 8th
Division 4 Stockholm Mellersta
Liga II, 6th
Regular phase: 9th
Campeonato de Portugal (league)
Eccellenza Lombardy/C, 1st
Division 2 Södra Svealand, 8th
Divizia A1, 2nd
NIFL Premier Intermediate League, 10th
Segunda División, 4th of 22
Provincial Qualifying Round
Denmark Series Group 2, 1st
Gauchão, 12th of 12
IV liga, 1st of 18
CLP-2 Group B, 2nd
Regular phase: 1st
Vale of Glamorgan League Premier Division, 4th
Belgian Division 2 VFV A, 4th of 16
NOFV-Oberliga Nord, 15th of 19
Kategoria Superiore, 4th of 10
Liga Artzit, 2nd
Covid-suspended
Group B 3rd place
Premier League BH, 1st of 12
Liga V, Bucharest, Seria II, 2nd
Primera Nacional Zone B, 17th
Serie D/B, 3rd
National Division 1, 13th of 15
Eccellenza Liguria, 9th
League One, 15th of 18
Eliteserien, 2nd of 16
Liga 2, 3rd of 24
Paulistão A3, 13th of 16
FDL, 14th of 20
Swiss Challenge League, 4th of 10
Eccellenza Lombardy Group A, 13th
NIFL Premiership, 12th
First League, 10th of 14
Championnat National, 4th
Birinci Lig, 1st
PFL Sremska Mitrovica, 1st of 18
Liga Alef South, 9th
Northamptonshire Combination Premier Division, 3rd of 14
Iraq Division One, 15th of 24
NIFL Championship, 5th
First League, 2nd
K4 League, 3rd
Mineiro Módulo II, 4th
Serie D/D, 16th
Fifth Division / Agder, 3rd
III liiga South, 4th
Division 4 Stockholm Norra, 1st
Thai League 3, 4th of 13 in the Northeastern region
Eerste Divisie, 4th of 20
Eccellenza Molise, 7th
Nemzeti Bajnokság I, 3rd of 14
Ukrainian Premier League, 5th of 16
Turkish Regional Amateur League, Group 9, 8th
Ettan Södra, 8th of 16
Liga 2, Withdrew
Central Federation League, 4th of 8
PLSQ-Male, 1st
Ukrainian First League, 5th
Catarinense Série B, 7th
Promozione, 1st
K3 League, 14th of 16
Nationalliga A, 1st
(Primera Provincial), 2nd – promoted
Amazonense, 2nd of 12
Liga 1, 3rd of 18
Majority Whips
Hessenliga , 6th
Macedonian Third League , 6th
Regular Season: 2nd, KeystonePlayoffs: did not qualify
Round of 64
Championship Group: 1st
Southern League, 1st of 10
Playoff Divisional Semifinals
Since 1991:
Ptuj Super League, 5th
División de Honor B – Group B, 5th
Rheinlandliga , 18th
Pomurska League, 1st
Promozione group B, 5th
Derde Divisie, 1st
Eccellenza Tuscany B, 6th
Division One, 13th
I Lyga 15th
Ligue Nationale du Football Amateur, Group Centre, 13th
Tercera Division, 15th
Liga III, Seria III, 3rd
Primera Regional – Group 1, 15th
Regional Preferente, 10th
Liga Națională, 10th of 14
Esiliiga, 1st
Regionalliga Nordost, 20th of 20
Lega Pro Seconda Divisione/A, 17th
Persian Gulf Pro League, 7th
Division 3 Norra Svealand, 5th
Champion
Bhutan Premier League, 2nd of 10
Eccellenza Tuscany, 1st
Liga 3 Central Kalimantan zone
Serie D/A, 9th
Egyptian Premier League, 2nd of 18
Eastern Conference: 1st
Playoff Divisional Round
Bristol & Suburban League Premier Division One, 13th
Macedonian First League, 12th
Division 3 Mellersta Norrland, 1st
South-East Third League, 11th
III liga, 18th
Serbian League West, 6th
Paranaense, 10th
Round of 32
Segunda División, 18th
FDL, 5th of 20
SWFL 1 North, Champions
Segunda División, 1st
Amapazão, 3rd of 8
Iraqi Premier League, 1st of 20
CPD, 10th of 16
Kazakhstan First Division 2nd,
TT Pro League, 7th
División Intermedia, 16th 10px  (  )
Liga IV, Bihor County, 4th
Regional League Central, 16th
Macedonian Third League , 14th
Serie D/C, 17th
Brasileiro Série A2, 2nd
Thai League 3, 7th of 12 in the Northern region
Uzbekistan Super League, 13th of 14
K League 1, 8th of 12
Ligue Professionnelle 1, 18th
Segunda Divisão, 28th
Eccellenza Lazio/Α, 1st
Treća HNL East, 8th
Paulistão 2ª Divisão, 26th of 30
Cymru North, 15th
Division 1 Norra, 12th
Hoofdklasse Sunday A, 2nd
CFA Group C, 14th
Regionalliga Südwest, 12th of 19
UAE Futsal League, 6th
Liga 2/1st round (Group B), 3rd
Liga IV, Ialomița County, 10th
League One, 17th
Third Division 'A', 17th
Regional Preferente, 9th
Azadegan League, 20th
Liga 3
Division 4 Norrbotten Norra, 1st
División de Honor, 6th
NRF Division 4, 2nd of 11
National Amateur League, Group B, 5th
NB III, West, 12th
IV liga, 15th of 19
SLCL, Champions
First League of FBiH, 6th
Serie D/H, 17th
Hellenic Football League
Ykkönen, 12th
I liga, 10th of 18
Serie D/C, 18th
Playoffs: Divisional Semi Finals
Primera Nacional de Fútbol (women), 4th
BPL, 4rd of 16
Final phase: Quarter-finals
Regular season: 2nd
London 1 South, 2nd place
Cearense, 8th of 10
Ballymena & Provincial Football League, 13th
(Preferente Autonómica – Group Norte), 16th
League, 2nd.
Håndboldligaen, 8th of 15
FNL, 14th
Relegation Group C, 4th
NIFL Premier Intermediate League, 4th
Serie D/A, 13th
National 2 Group C, 9th
